"ChEMBL ID";"Name";"Synonyms";"Type";"Max Phase";"Molecular Weight";"Targets";"Bioactivities";"AlogP";"PSA";"HBA";"HBD";"#RO5 Violations";"#Rotatable Bonds";"Passes Ro3";"QED Weighted";"CX ApKa";"CX BpKa";"CX LogP";"CX LogD";"Aromatic Rings";"Structure Type";"Inorganic Flag";"Heavy Atoms";"HBA Lipinski";"HBD Lipinski";"#RO5 Violations (Lipinski)";"Molecular Weight (Monoisotopic)";"Molecular Species";"Molecular Formula";"Smiles"
"CHEMBL35093";"";"PD-172939";"Small molecule";"0";"349.48";"8";"8";"3.30";"35.58";"3";"1";"0";"4";"N";"0.92";"13.91";"8.02";"3.70";"2.99";"2";"MOL";"-1";"26";"4";"1";"0";"349.2154";"NEUTRAL";"C22H27N3O";"Cc1ccc(N2CCN(CC[C@H]3NC(=O)c4ccccc43)CC2)cc1C"
"CHEMBL3039407";"";"";"Small molecule";"0";"454.97";"1";"1";"3.89";"72.83";"5";"1";"0";"2";"N";"0.64";"13.60";"None";"3.30";"3.30";"0";"MOL";"-1";"31";"5";"1";"0";"454.1922";"NEUTRAL";"C24H32ClFO5";"CC1(C)O[C@@H]2CC3C4CCC5=CC(=O)CCC5(C)C4(F)C(O)CC3(C)[C@]2(C(=O)CCl)O1"
"CHEMBL394875";"";"";"Small molecule";"0";"135.19";"4";"4";"-0.24";"63.32";"3";"2";"0";"3";"N";"0.56";"2.44";"9.15";"-2.40";"-2.41";"0";"MOL";"-1";"8";"3";"3";"0";"135.0354";"ZWITTERION";"C4H9NO2S";"CSC[C@H](N)C(=O)O"
"CHEMBL55743";"";"";"Small molecule";"0";"207.23";"4";"5";"0.82";"66.40";"2";"2";"0";"4";"N";"0.77";"4.02";"None";"0.90";"-2.25";"1";"MOL";"-1";"15";"4";"2";"0";"207.0895";"ACID";"C11H13NO3";"CC(=O)N[C@@H](Cc1ccccc1)C(=O)O"
"CHEMBL200381";"";"";"Small molecule";"0";"404.84";"236";"486";"5.04";"86.52";"6";"2";"1";"5";"N";"0.48";"None";"4.84";"3.53";"3.53";"4";"MOL";"-1";"29";"6";"2";"1";"404.0953";"NEUTRAL";"C21H14ClFN6";"N#Cc1cnc2cnc(NCc3cccnc3)cc2c1Nc1ccc(F)c(Cl)c1"
"CHEMBL192254";"";"";"Small molecule";"0";"257.25";"1";"1";"-2.17";"130.83";"8";"4";"0";"2";"N";"0.47";"12.43";"None";"-2.52";"-2.52";"1";"MOL";"-1";"18";"8";"5";"0";"257.1012";"NEUTRAL";"C10H15N3O5";"CC1(O)C(O)C(CO)OC1n1ccc(N)nc1=O"
"CHEMBL3545175";"PF-03882845";"PF-03882845|PF-3882845";"Small molecule";"1";"";"1";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"NONE";"0";"";"";"";"";"";"";"";""
"CHEMBL502351";"";"";"Small molecule";"0";"352.40";"21";"22";"4.62";"52.31";"5";"0";"0";"3";"N";"0.48";"None";"4.28";"3.95";"3.95";"5";"MOL";"-1";"27";"5";"0";"0";"352.1324";"NEUTRAL";"C22H16N4O";"COc1ccc(-c2cnc3c(-c4cccc5ncccc45)cnn3c2)cc1"
"CHEMBL492572";"";"";"Small molecule";"0";"462.98";"7";"28";"4.59";"70.13";"4";"2";"0";"5";"N";"0.46";"12.75";"7.12";"4.10";"3.92";"4";"MOL";"-1";"33";"6";"2";"0";"462.1823";"NEUTRAL";"C26H27ClN4O2";"C[C@@H](CN1CCC(n2c(=O)[nH]c3cc(Cl)ccc32)CC1)NC(=O)c1ccc2ccccc2c1"
"CHEMBL492591";"";"5-Carboxyfuro[3,2-B]Pyrrole";"Small molecule";"0";"151.12";"19";"68";"1.46";"66.23";"2";"2";"0";"1";"N";"0.65";"3.59";"None";"0.82";"-2.52";"2";"MOL";"-1";"11";"4";"2";"0";"151.0269";"ACID";"C7H5NO3";"O=C(O)c1cc2occc2[nH]1"
"CHEMBL494772";"";"";"Small molecule";"0";"302.38";"3";"3";"2.37";"96.28";"6";"2";"0";"5";"N";"0.88";"None";"7.16";"2.69";"2.50";"2";"MOL";"-1";"22";"6";"4";"0";"302.1743";"NEUTRAL";"C16H22N4O2";"COc1cc(Cc2cnc(N)nc2N)c(C(C)C)cc1OC"
"CHEMBL561103";"";"";"Small molecule";"0";"528.62";"8";"37";"3.74";"110.53";"10";"1";"1";"6";"N";"0.40";"12.80";"8.06";"3.19";"2.45";"4";"MOL";"-1";"39";"11";"1";"2";"528.2597";"NEUTRAL";"C28H32N8O3";"COC(=O)Nc1ccc(-c2nc(N3CCOCC3)c3cnn(C4CCN(Cc5cccnc5)CC4)c3n2)cc1"
"CHEMBL559525";"";"";"Small molecule";"0";"380.81";"2";"2";"4.69";"58.20";"2";"2";"0";"2";"N";"0.68";"9.61";"None";"4.63";"4.63";"3";"MOL";"-1";"27";"4";"2";"0";"380.0728";"NEUTRAL";"C21H14ClFN2O2";"O=C(NC(=O)c1c(F)cccc1Cl)NC1c2ccccc2-c2ccccc21"
"CHEMBL543336";"";"";"Small molecule";"0";"437.91";"4";"9";"0.96";"109.58";"9";"2";"0";"5";"N";"0.65";"4.87";"8.80";"-0.43";"-0.44";"3";"MOL";"-1";"28";"9";"2";"0";"401.1158";"ZWITTERION";"C18H20ClN5O4S";"CN[C@H]1CN(c2ccc3c(=O)c(C(=O)O)cn(-c4nccs4)c3n2)C[C@@H]1OC.Cl"
"CHEMBL397983";"";"AMG-487";"Small molecule";"0";"603.60";"14";"75";"5.81";"99.44";"8";"0";"2";"10";"N";"0.20";"None";"4.81";"5.69";"5.69";"5";"MOL";"-1";"44";"9";"0";"2";"603.2093";"NEUTRAL";"C32H28F3N5O4";"CCOc1ccc(-n2c([C@@H](C)N(Cc3cccnc3)C(=O)Cc3ccc(OC(F)(F)F)cc3)nc3ncccc3c2=O)cc1"
"CHEMBL1096283";"";"";"Small molecule";"0";"337.26";"8";"10";"1.06";"82.67";"7";"0";"0";"1";"N";"0.66";"None";"None";"1.66";"1.66";"1";"MOL";"-1";"24";"7";"0";"0";"337.0787";"None";"C14H10F3N5O2";"Cn1nc(-c2ccc(C(F)(F)F)cc2)nc2c(=O)n(C)c(=O)nc1-2"
"CHEMBL27193";"DILEVALOL";"DILEVALOL";"Small molecule";"4";"328.41";"10";"34";"2.14";"95.58";"4";"4";"0";"8";"N";"0.60";"8.05";"9.80";"1.89";"1.26";"2";"MOL";"0";"24";"5";"5";"0";"328.1787";"BASE";"C19H24N2O3";"C[C@H](CCc1ccccc1)NC[C@H](O)c1ccc(O)c(C(N)=O)c1"
"CHEMBL1096435";"Ro-281675";"Ro-0281675";"Small molecule";"0";"378.52";"13";"84";"3.85";"76.13";"5";"1";"0";"6";"N";"0.83";"7.89";"None";"3.37";"3.26";"2";"MOL";"-1";"25";"5";"1";"0";"378.1072";"NEUTRAL";"C18H22N2O3S2";"CS(=O)(=O)c1ccc([C@@H](CC2CCCC2)C(=O)Nc2nccs2)cc1"
"CHEMBL1078983";"AZD-2014";"AZD-2014";"Small molecule";"0";"465.55";"19";"33";"2.64";"93.07";"9";"1";"0";"5";"N";"0.61";"None";"2.06";"3.53";"3.53";"3";"MOL";"-1";"34";"9";"1";"0";"465.2376";"NEUTRAL";"C25H31N5O4";"COc1ccc(-c2ccc3c(N4CCOCC4)nc(N4C[C@H](C)O[C@H](C)C4)nc3n2)cc1CO"
"CHEMBL4068896";"";"";"Small molecule";"0";"509.39";"26";"45";"6.80";"85.37";"6";"2";"2";"7";"N";"0.27";"12.09";"1.77";"6.59";"6.59";"4";"MOL";"-1";"35";"7";"2";"2";"508.1069";"NEUTRAL";"C26H22Cl2N4O3";"C=CC(=O)Nc1cccc(C)c1Nc1ncc2cc(-c3c(Cl)c(OC)cc(OC)c3Cl)ccc2n1"
"CHEMBL332148";"";"N-Methyl-L-Arginine";"Small molecule";"0";"188.23";"9";"32";"-1.08";"111.23";"3";"5";"0";"6";"N";"0.21";"2.05";"12.37";"-2.78";"-5.34";"0";"MOL";"-1";"13";"6";"6";"1";"188.1273";"ZWITTERION";"C7H16N4O2";"CN[C@@H](CCCNC(=N)N)C(=O)O"
"CHEMBL507327";"";"";"Small molecule";"0";"295.73";"1";"1";"3.47";"50.68";"3";"1";"0";"1";"N";"0.58";"11.75";"2.93";"3.02";"3.02";"2";"MOL";"-1";"21";"4";"1";"0";"295.0512";"NEUTRAL";"C16H10ClN3O";"O=c1c2c[nH]c3ccccc3c-2nn1-c1ccc(Cl)cc1"
"CHEMBL1187085";"";"";"Small molecule";"0";"138.15";"1";"1";"0.21";"41.18";"1";"1";"0";"1";"Y";"0.56";"2.78";"None";"-3.53";"-3.76";"1";"MOL";"-1";"10";"3";"1";"0";"138.0550";"ACID";"C7H8NO2+";"C[n+]1cccc(C(=O)O)c1"
"CHEMBL481512";"";"";"Small molecule";"0";"408.63";"7";"17";"5.64";"33.09";"4";"1";"1";"3";"N";"0.71";"None";"10.83";"4.86";"-0.49";"2";"MOL";"-1";"30";"4";"1";"1";"408.3253";"BASE";"C26H40N4";"CC1(N2CCC(n3c([C@@H]4CCCNC4)nc4ccccc43)CC2)CCCCCCC1"
"CHEMBL518800";"";"";"Small molecule";"0";"431.54";"12";"15";"4.26";"100.78";"8";"3";"0";"9";"N";"0.36";"None";"5.27";"3.71";"3.71";"4";"MOL";"-1";"32";"8";"3";"0";"431.2434";"NEUTRAL";"C24H29N7O";"CC[C@H](CO)Nc1nc(NCc2ccc(-c3ccccn3)cc2)c2ncn(C(C)C)c2n1"
"CHEMBL513136";"";"";"Small molecule";"0";"397.56";"7";"13";"5.91";"23.47";"2";"1";"1";"4";"N";"0.59";"13.98";"10.14";"6.22";"3.55";"3";"MOL";"-1";"30";"2";"1";"1";"397.2406";"BASE";"C28H31NO";"Cc1ccccc1C(c1ccccc1C)N1C2CCC1CC(O)(c1ccccc1)C2"
"CHEMBL469169";"";"";"Small molecule";"0";"387.87";"12";"36";"3.77";"70.67";"3";"2";"0";"4";"N";"0.84";"13.05";"None";"2.66";"2.66";"2";"MOL";"-1";"27";"6";"2";"0";"387.1350";"NEUTRAL";"C20H22ClN3O3";"CNC(=O)c1cccc(NC(=O)N2CCC(Oc3ccccc3Cl)CC2)c1"
"CHEMBL603764";"";"";"Small molecule";"0";"347.22";"1";"1";"-1.86";"186.07";"10";"5";"0";"4";"N";"0.39";"1.22";"4.88";"-4.75";"-5.75";"2";"MOL";"-1";"23";"12";"6";"2";"347.0631";"ACID";"C10H14N5O7P";"Nc1ncnc2c1ncn2C1O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]1O"
"CHEMBL1212994";"";"VU10010";"Small molecule";"0";"345.86";"9";"41";"4.08";"68.01";"4";"2";"0";"3";"N";"0.75";"None";"1.65";"4.00";"4.00";"3";"MOL";"-1";"23";"4";"3";"0";"345.0703";"NEUTRAL";"C17H16ClN3OS";"Cc1cc(C)c2c(N)c(C(=O)NCc3ccc(Cl)cc3)sc2n1"
"CHEMBL549485";"";"";"Small molecule";"0";"424.40";"1";"1";"-1.37";"148.82";"10";"3";"0";"0";"N";"0.31";"11.71";"None";"-0.58";"-0.58";"0";"MOL";"-1";"30";"10";"3";"0";"424.1369";"NEUTRAL";"C20H24O10";"C[C@@H]1C(=O)O[C@H]2[C@H](O)C34[C@H]5C[C@@H](C(C)(C)C)[C@]36[C@@H](OC(=O)[C@@H]6O)O[C@@]4(C(=O)O5)[C@@]12O"
"CHEMBL1204168";"";"";"Small molecule";"0";"396.67";"6";"9";"4.15";"56.27";"5";"1";"0";"4";"N";"0.76";"None";"4.66";"3.91";"3.91";"3";"MOL";"-1";"22";"5";"1";"0";"359.0269";"NEUTRAL";"C16H15BrClN3O2";"COc1cc2ncnc(Nc3cccc(Br)c3)c2cc1OC.Cl"
"CHEMBL1236027";"";"";"Small molecule";"0";"465.64";"1";"1";"4.77";"102.01";"5";"3";"0";"21";"N";"0.10";"1.83";"9.68";"-0.24";"0.49";"0";"MOL";"-1";"31";"7";"4";"0";"465.3452";"ZWITTERION";"C23H50N2O5P+";"CCCCCCCCCCCCC/C=C/[C@@H](O)[C@@H](N)CO[P@](=O)(O)OCC[N+](C)(C)C"
"CHEMBL567303";"PALOSURAN";"ACT-058362|PALOSURAN";"Small molecule";"2";"418.54";"4";"7";"3.73";"77.49";"4";"3";"0";"6";"N";"0.57";"12.61";"7.91";"2.66";"2.03";"3";"MOL";"0";"31";"6";"3";"0";"418.2369";"NEUTRAL";"C25H30N4O2";"Cc1cc(NC(=O)NCCN2CCC(O)(Cc3ccccc3)CC2)c2ccccc2n1"
"CHEMBL1241767";"";"";"Small molecule";"0";"489.54";"14";"19";"4.15";"124.74";"9";"2";"0";"4";"N";"0.38";"9.54";"4.03";"4.74";"4.74";"6";"MOL";"-1";"37";"9";"3";"0";"489.1913";"NEUTRAL";"C28H23N7O2";"Cc1ccccc1-n1c(Cn2nc(-c3cccc(O)c3)c3c(N)ncnc32)nc2cccc(C)c2c1=O"
"CHEMBL1201004";"DEXTROMETHORPHAN HYDROBROMIDE";"";"Small molecule";"0";"352.32";"2";"2";"3.38";"12.47";"2";"0";"0";"1";"N";"0.78";"None";"9.85";"3.49";"1.08";"1";"MOL";"-1";"20";"2";"0";"0";"271.1936";"BASE";"C18H26BrNO";"Br.COc1ccc2c(c1)[C@]13CCCC[C@@H]1[C@H](C2)N(C)CC3"
"CHEMBL149930";"MEGLITINIDE";"MEGLITINIDE|Meglitinide";"Small molecule";"0";"333.77";"5";"12";"3.02";"75.63";"3";"2";"0";"6";"N";"0.85";"4.07";"None";"3.16";"0.05";"2";"MOL";"0";"23";"5";"2";"0";"333.0768";"ACID";"C17H16ClNO4";"COc1ccc(Cl)cc1C(=O)NCCc1ccc(C(=O)O)cc1"
"CHEMBL2431212";"";"";"Small molecule";"0";"265.32";"3";"4";"2.01";"54.88";"3";"1";"0";"2";"Y";"0.85";"None";"4.51";"1.89";"1.89";"2";"MOL";"-1";"20";"4";"1";"0";"265.1215";"NEUTRAL";"C16H15N3O";"CC(C)NC(=O)c1ccc(C#Cc2ccncc2)cn1"
"CHEMBL492884";"";"";"Small molecule";"0";"269.35";"15";"27";"1.48";"58.28";"5";"1";"0";"2";"N";"0.89";"None";"7.62";"2.48";"2.03";"2";"MOL";"-1";"20";"5";"2";"0";"269.1640";"NEUTRAL";"C15H19N5";"CN1CCN(c2cc(-c3ccccc3)nc(N)n2)CC1"
"CHEMBL604710";"Z160";"MK6721|NMED-160|NP-118809|Z160";"Small molecule";"2";"460.62";"13";"33";"6.14";"23.55";"2";"0";"1";"7";"N";"0.33";"None";"7.30";"6.47";"6.22";"4";"MOL";"0";"35";"3";"0";"1";"460.2515";"NEUTRAL";"C32H32N2O";"O=C(CC(c1ccccc1)c1ccccc1)N1CCN(C(c2ccccc2)c2ccccc2)CC1"
"CHEMBL497608";"";"";"Small molecule";"0";"244.30";"7";"28";"1.26";"83.80";"3";"3";"0";"2";"N";"0.74";"9.73";"9.25";"0.21";"-1.17";"2";"MOL";"-1";"18";"5";"4";"0";"244.1324";"BASE";"C13H16N4O";"C[C@@]1(c2nc3cccc(C(N)=O)c3[nH]2)CCCN1"
"CHEMBL358722";"TIMONACIC";"TIMONACIC|Timonacic";"Small molecule";"0";"133.17";"3";"8";"-0.27";"49.33";"3";"2";"0";"1";"Y";"0.52";"2.59";"7.70";"-2.68";"-2.84";"0";"MOL";"0";"8";"3";"2";"0";"133.0197";"ACID";"C4H7NO2S";"O=C(O)C1CSCN1"
"CHEMBL410295";"";"";"Small molecule";"0";"530.64";"27";"68";"4.69";"83.59";"9";"1";"1";"4";"N";"0.35";"13.85";"7.96";"6.24";"5.57";"6";"MOL";"-1";"40";"9";"1";"1";"530.2543";"NEUTRAL";"C31H30N8O";"Cc1cccc(C)c1-n1c(=O)c2cnc(Nc3ccc(N4CCN(C)CC4)cc3)nc2n2c3ccccc3nc12"
"CHEMBL270948";"";"CP-376395";"Small molecule";"0";"326.48";"8";"28";"6.02";"34.15";"3";"1";"1";"6";"N";"0.70";"None";"6.89";"6.33";"6.21";"2";"MOL";"-1";"24";"3";"1";"1";"326.2358";"NEUTRAL";"C21H30N2O";"CCC(CC)Nc1cc(C)nc(Oc2c(C)cc(C)cc2C)c1C"
"CHEMBL508094";"";"4-Hydroxy Isoleucine";"Small molecule";"0";"147.17";"4";"13";"-0.58";"83.55";"3";"3";"0";"3";"N";"0.50";"2.46";"9.22";"-2.93";"-2.94";"0";"MOL";"-1";"10";"4";"4";"0";"147.0895";"ZWITTERION";"C6H13NO3";"C[C@H](O)[C@H](C)[C@H](N)C(=O)O"
"CHEMBL471792";"";"";"Small molecule";"0";"366.84";"1";"1";"5.51";"54.37";"3";"1";"1";"2";"N";"0.76";"5.73";"None";"5.00";"3.33";"2";"MOL";"-1";"26";"3";"1";"1";"366.1023";"ACID";"C22H19ClO3";"O=C1C(O)=C(C2CCC(c3ccc(Cl)cc3)CC2)C(=O)c2ccccc21"
"CHEMBL471411";"";"";"Small molecule";"0";"308.41";"6";"13";"4.68";"41.99";"3";"1";"0";"3";"N";"0.76";"11.82";"None";"5.47";"5.47";"3";"MOL";"-1";"22";"3";"1";"0";"308.0983";"NEUTRAL";"C18H16N2OS";"Cc1ccc(-c2csc(NC(=O)c3ccccc3)n2)c(C)c1"
"CHEMBL1642655";"";"";"Small molecule";"0";"359.43";"16";"18";"4.07";"64.22";"5";"1";"0";"3";"N";"0.60";"None";"6.03";"3.75";"3.74";"4";"MOL";"-1";"27";"6";"1";"0";"359.1746";"NEUTRAL";"C21H21N5O";"CC(C)(C)c1ccc(C(=O)Nc2cn3cc(-n4ccnc4)ccc3n2)cc1"
"CHEMBL470584";"";"";"Small molecule";"0";"261.32";"3";"4";"1.13";"70.05";"4";"3";"0";"2";"N";"0.76";"12.80";"9.14";"0.84";"-0.89";"2";"MOL";"-1";"19";"5";"3";"0";"261.1477";"BASE";"C14H19N3O2";"CC(C)N[C@H]1CCn2c(=O)[nH]c3cccc(c32)[C@@H]1O"
"CHEMBL513390";"ZILPATEROL HYDROCHLORIDE";"Zilpaterol hydrochloride";"Small molecule";"0";"297.79";"2";"10";"1.13";"70.05";"4";"3";"0";"2";"N";"0.76";"12.80";"9.14";"0.84";"-0.89";"2";"MOL";"-1";"19";"5";"3";"0";"261.1477";"BASE";"C14H20ClN3O2";"CC(C)N[C@@H]1CCn2c(=O)[nH]c3cccc(c32)[C@H]1O.Cl"
"CHEMBL4303667";"";"";"Small molecule";"0";"308.12";"1";"1";"0.57";"33.42";"2";"0";"0";"1";"Y";"0.59";"None";"None";"-3.47";"-3.47";"1";"MOL";"0";"13";"4";"0";"0";"181.0972";"NEUTRAL";"C9H13IN2O2";"CN(C)C(=O)Oc1ccc[n+](C)c1.[I-]"
"CHEMBL401930";"";"BMS-536924";"Small molecule";"0";"479.97";"394";"461";"3.86";"106.27";"6";"4";"0";"6";"N";"0.33";"9.58";"3.32";"2.85";"2.84";"4";"MOL";"-1";"34";"8";"4";"0";"479.1724";"NEUTRAL";"C25H26ClN5O3";"Cc1cc(N2CCOCC2)cc2[nH]c(-c3c(NC[C@@H](O)c4cccc(Cl)c4)cc[nH]c3=O)nc12"
"CHEMBL4303310";"";"";"Small molecule";"0";"368.39";"1";"1";"3.50";"93.06";"6";"2";"0";"4";"N";"0.63";"7.43";"None";"4.91";"4.62";"2";"MOL";"0";"27";"6";"2";"0";"368.1260";"NEUTRAL";"C21H20O6";"COc1ccc(C2Oc3c(CC=C(C)C)c(O)cc(O)c3C(=O)C2=O)cc1"
"CHEMBL504548";"";"";"Small molecule";"0";"285.77";"6";"6";"4.26";"12.47";"2";"0";"0";"0";"N";"0.72";"None";"7.29";"3.72";"3.47";"2";"MOL";"-1";"20";"2";"0";"0";"285.0920";"NEUTRAL";"C17H16ClNO";"CN1C[C@@H]2c3ccccc3Oc3ccc(Cl)cc3[C@H]2C1"
"CHEMBL301922";"";"";"Small molecule";"0";"284.36";"1";"1";"-1.13";"113.32";"4";"4";"0";"7";"N";"0.47";"12.46";"9.50";"-1.29";"-3.37";"0";"MOL";"-1";"20";"7";"5";"0";"284.1848";"BASE";"C13H24N4O3";"CC(C)CC(NC(=O)C1CCCN1)C(=O)NCC(N)=O"
"CHEMBL423894";"";"";"Small molecule";"0";"353.60";"1";"1";"1.65";"60.15";"5";"5";"0";"20";"N";"0.17";"None";"10.93";"1.27";"-11.29";"0";"MOL";"-1";"25";"5";"5";"0";"353.3518";"BASE";"C20H43N5";"CCNC/C=C\CNCCCCNCCCCNC/C=C\CNCC"
"CHEMBL473659";"GINSENOSIDE RD";"GINSENOSIDE RD";"Small molecule";"3";"947.17";"16";"28";"-0.03";"298.14";"18";"12";"3";"13";"N";"0.09";"11.85";"None";"0.22";"0.22";"0";"MOL";"0";"66";"18";"12";"3";"946.5501";"NEUTRAL";"C48H82O18";"CC(C)=CCC[C@](C)(O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)[C@H]1CC[C@]2(C)[C@@H]1[C@H](O)C[C@@H]1[C@@]3(C)CC[C@H](O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)C(C)(C)[C@@H]3CC[C@]12C"
"CHEMBL430112";"";"";"Small molecule";"0";"153.27";"6";"6";"2.02";"26.02";"1";"1";"0";"1";"Y";"0.61";"None";"10.52";"2.01";"-0.76";"0";"MOL";"-1";"11";"1";"2";"0";"153.1517";"BASE";"C10H19N";"CC(C)C1C2CCC(C2)C1N"
"CHEMBL4303206";"";"";"Small molecule";"0";"1317.46";"1";"1";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"MOL";"0";"None";"None";"None";"None";"1166.5589";"None";"C70H80N10O16";"CN1C[C@H](C(=O)N[C@]2(C)O[C@@]3(O)[C@@H]4CCCN4C(=O)[C@H](Cc4ccccc4)N3C2=O)CC2c3cccc4[nH]cc(c34)C[C@H]21.CN1C[C@H](C(=O)N[C@]2(C)O[C@@]3(O)[C@@H]4CCCN4C(=O)[C@H](Cc4ccccc4)N3C2=O)C[C@@H]2c3cccc4[nH]cc(c34)C[C@H]21.O=C(O)C(O)C(O)C(=O)O"
"CHEMBL4303150";"";"";"Small molecule";"0";"562.51";"1";"1";"5.30";"90.46";"4";"4";"2";"4";"N";"0.41";"12.88";"8.99";"5.08";"3.49";"2";"MOL";"0";"38";"6";"4";"2";"561.1961";"BASE";"C29H34Cl2FN3O3";"CC(C)(C)CC1NC(C(=O)NC2CCC(O)CC2)C(c2cccc(Cl)c2F)C12C(=O)Nc1cc(Cl)ccc12"
"CHEMBL4303162";"";"";"Unknown";"0";"";"1";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"NONE";"0";"";"";"";"";"";"";"";""
"CHEMBL4303167";"";"";"Small molecule";"0";"1093.33";"1";"1";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"MOL";"0";"None";"None";"None";"None";"1092.6431";"None";"C52H88N10O15";"CCC(C)CC(C)CCCCCCCCC(=O)N[C@H]1C[C@@H](O)[C@@H](NCCN)NC(=O)[C@@H]2[C@@H](O)CCN2C(=O)[C@H]([C@H](O)CCN)NC(=O)[C@H]([C@@H](O)[C@H](O)c2ccc(O)cc2)NC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@H]([C@@H](C)O)NC1=O"
"CHEMBL4303326";"";"";"Small molecule";"0";"1541.55";"1";"1";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"MOL";"0";"None";"None";"None";"None";"1540.6628";"None";"C63H112O42";"CC(O)COC[C@H]1OC2O[C@@H]3[C@@H](COCC(C)O)OC(O[C@@H]4[C@@H](COCC(C)O)OC(O[C@@H]5[C@@H](COCC(C)O)OC(O[C@@H]6[C@@H](COCC(C)O)OC(O[C@@H]7[C@@H](COCC(C)O)OC(O[C@@H]8[C@@H](COCC(C)O)OC(O[C@H]1[C@H](O)[C@H]2O)[C@H](O)[C@H]8O)[C@H](O)[C@H]7O)[C@H](O)[C@H]6O)[C@H](O)[C@H]5O)[C@H](O)[C@H]4O)[C@H](O)[C@H]3O"
"CHEMBL4303221";"";"";"Small molecule";"0";"429.55";"1";"1";"5.65";"75.86";"7";"2";"1";"6";"N";"0.36";"10.25";"3.32";"5.81";"5.81";"5";"MOL";"0";"31";"6";"2";"1";"429.1623";"NEUTRAL";"C24H23N5OS";"CC(C)n1cnc2c(NCCc3ccc(O)cc3)nc(-c3csc4ccccc34)nc21"
"CHEMBL4303231";"";"";"Small molecule";"0";"276.26";"1";"1";"-0.83";"100.74";"9";"0";"0";"2";"N";"0.61";"None";"None";"-0.34";"-0.34";"3";"MOL";"0";"20";"9";"0";"0";"276.0971";"NEUTRAL";"C11H12N6O3";"Cc1nc(Cn2cnc3c2c(=O)n(C)c(=O)n3C)no1"
"CHEMBL4303152";"";"";"Small molecule";"0";"283.24";"1";"1";"-2.69";"159.51";"9";"5";"0";"2";"N";"0.40";"10.16";"0.55";"-2.71";"-2.71";"2";"MOL";"0";"20";"10";"6";"1";"283.0917";"NEUTRAL";"C10H13N5O5";"Nc1nc2c(ncn2[C@@H]2O[C@@H](CO)[C@@H](O)[C@H]2O)c(=O)[nH]1"
"CHEMBL4303340";"";"";"Small molecule";"0";"505.02";"1";"1";"4.26";"86.42";"7";"1";"1";"5";"N";"0.56";"None";"7.58";"3.73";"3.33";"3";"MOL";"0";"36";"8";"1";"1";"504.2041";"NEUTRAL";"C27H29ClN6O2";"Cc1c(C(=O)Nc2ccc(N3CCC(N4CCOCC4)CC3)c(C#N)c2)cnn1-c1ccc(Cl)cc1"
"CHEMBL4303349";"";"";"Small molecule";"0";"294.31";"1";"1";"3.38";"90.30";"6";"4";"0";"4";"N";"0.59";"9.36";"3.73";"3.24";"3.23";"3";"MOL";"0";"22";"6";"4";"0";"294.1117";"NEUTRAL";"C16H14N4O2";"Oc1cccc(Nc2ccc(Nc3cccc(O)c3)nn2)c1"
"CHEMBL4303351";"";"";"Small molecule";"0";"311.35";"1";"1";"1.57";"76.30";"7";"1";"0";"2";"N";"0.77";"9.40";"3.65";"2.45";"2.44";"3";"MOL";"0";"23";"7";"1";"0";"311.1382";"NEUTRAL";"C16H17N5O2";"Cn1ncc2c(N3CCOCC3)nc(-c3cccc(O)c3)nc21"
"CHEMBL483243";"";"";"Small molecule";"0";"332.79";"3";"5";"1.92";"56.22";"4";"0";"0";"2";"N";"0.83";"10.26";"4.39";"1.96";"1.96";"1";"MOL";"-1";"23";"6";"0";"0";"332.1040";"NEUTRAL";"C16H17ClN4O2";"CN1C(=O)C2C(N=C(/C=C/c3cccc(Cl)c3)N2C)N(C)C1=O"
"CHEMBL232656";"";"BX-471|BX-741";"Small molecule";"0";"434.90";"13";"34";"3.08";"87.90";"4";"2";"0";"6";"N";"0.73";"11.92";"6.46";"2.57";"2.53";"2";"MOL";"-1";"30";"7";"3";"0";"434.1521";"NEUTRAL";"C21H24ClFN4O3";"C[C@@H]1CN(Cc2ccc(F)cc2)CCN1C(=O)COc1ccc(Cl)cc1NC(N)=O"
"CHEMBL522618";"";"";"Small molecule";"0";"359.39";"6";"7";"4.79";"69.41";"6";"1";"0";"4";"N";"0.56";"None";"2.17";"4.00";"4.00";"4";"MOL";"-1";"27";"6";"1";"0";"359.1270";"NEUTRAL";"C21H17N3O3";"C[C@H](Nc1cc2c(-c3ccc4c(c3)OCO4)noc2cn1)c1ccccc1"
