"ChEMBL ID";"Name";"Synonyms";"Type";"Max Phase";"Molecular Weight";"Targets";"Bioactivities";"AlogP";"PSA";"HBA";"HBD";"#RO5 Violations";"#Rotatable Bonds";"Passes Ro3";"QED Weighted";"CX ApKa";"CX BpKa";"CX LogP";"CX LogD";"Aromatic Rings";"Structure Type";"Inorganic Flag";"Heavy Atoms";"HBA Lipinski";"HBD Lipinski";"#RO5 Violations (Lipinski)";"Molecular Weight (Monoisotopic)";"Molecular Species";"Molecular Formula";"Smiles"
"CHEMBL378501";"CYANOPINDOLOL";"Cyanopindolol";"Small molecule";"0";"287.36";"52";"56";"2.17";"81.07";"4";"3";"0";"5";"N";"0.79";"12.72";"9.76";"1.75";"-0.56";"2";"MOL";"-1";"21";"5";"3";"0";"287.1634";"BASE";"C16H21N3O2";"CC(C)(C)NCC(O)COc1cccc2[nH]c(C#N)cc12"
"CHEMBL141305";"CYCLOFENIL";"CYCLOFENIL|F 6066|ICI 48213|NEOCLYM|REHIBIN";"Small molecule";"4";"364.44";"10";"35";"5.30";"52.60";"4";"0";"1";"4";"N";"0.55";"None";"None";"4.86";"4.86";"2";"MOL";"0";"27";"4";"0";"1";"364.1675";"NEUTRAL";"C23H24O4";"CC(=O)Oc1ccc(C(=C2CCCCC2)c2ccc(OC(C)=O)cc2)cc1"
"CHEMBL180966";"";"ALX-5407";"Small molecule";"0";"393.46";"21";"27";"5.02";"49.77";"3";"1";"1";"9";"N";"0.55";"1.11";"9.73";"2.22";"2.21";"3";"MOL";"-1";"29";"4";"1";"1";"393.1740";"ZWITTERION";"C24H24FNO3";"CN(CC[C@@H](Oc1ccc(-c2ccccc2)cc1)c1ccc(F)cc1)CC(=O)O"
"CHEMBL51697";"";"(S)-Nomifensine";"Small molecule";"0";"238.33";"25";"42";"2.85";"29.26";"2";"1";"0";"1";"Y";"0.77";"None";"8.80";"2.62";"1.21";"2";"MOL";"-1";"18";"2";"2";"0";"238.1470";"BASE";"C16H18N2";"CN1Cc2c(N)cccc2[C@H](c2ccccc2)C1"
"CHEMBL517986";"5-(N-ETHYL-N-ISOPROPYL)AMILORIDE";"";"Small molecule";"0";"299.77";"48";"100";"0.57";"134.01";"6";"4";"0";"4";"N";"0.47";"11.39";"7.17";"1.57";"1.37";"1";"MOL";"-1";"20";"8";"6";"1";"299.1261";"NEUTRAL";"C11H18ClN7O";"CCN(c1nc(N)c(C(=O)NC(=N)N)nc1Cl)C(C)C"
"CHEMBL1433361";"OTILONIUM";"";"Small molecule";"3";"483.67";"8";"9";"6.32";"64.63";"4";"1";"1";"16";"N";"0.17";"None";"None";"2.58";"2.58";"2";"MOL";"0";"35";"6";"1";"1";"483.3217";"NEUTRAL";"C29H43N2O4+";"CCCCCCCCOc1ccccc1C(=O)Nc1ccc(C(=O)OCC[N+](C)(CC)CC)cc1"
"CHEMBL391533";"COROSOLIC ACID";"Corosolic Acid";"Small molecule";"0";"472.71";"52";"126";"6.06";"77.76";"3";"3";"1";"1";"N";"0.41";"4.74";"None";"5.51";"2.90";"0";"MOL";"-1";"34";"4";"3";"1";"472.3553";"ACID";"C30H48O4";"C[C@@H]1[C@H]2C3=CC[C@@H]4[C@@]5(C)C[C@@H](O)[C@H](O)C(C)(C)[C@@H]5CC[C@@]4(C)[C@]3(C)CC[C@@]2(C(=O)O)CC[C@H]1C"
"CHEMBL1972268";"MENBUTONE";"MENBUTONE|METHONAPHTHONE|SC 1749 [AS SODIUM SALT]";"Small molecule";"0";"258.27";"2";"3";"2.90";"63.60";"3";"1";"0";"5";"N";"0.84";"4.05";"None";"2.19";"-0.94";"2";"MOL";"0";"19";"4";"1";"0";"258.0892";"ACID";"C15H14O4";"COc1ccc(C(=O)CCC(=O)O)c2ccccc12"
"CHEMBL3185434";"";"";"Small molecule";"0";"298.30";"2";"4";"3.56";"77.53";"5";"1";"0";"3";"N";"0.59";"9.43";"None";"3.63";"3.63";"3";"MOL";"-1";"22";"6";"1";"0";"298.0954";"NEUTRAL";"C16H14N2O4";"COc1ccc(-n2c(C)c([N+](=O)[O-])c3ccc(O)cc32)cc1"
"CHEMBL1200586";"PRILOCAINE HYDROCHLORIDE";"ASTRA 1512|CITANEST|CITANEST PLAIN|CITANEST PLAIN DENTAL|L-67|PRILOCAINE HYDROCHLORIDE|PROPITOCAINE HYDROCHLORIDE";"Small molecule";"4";"256.78";"17";"26";"2.32";"41.13";"2";"2";"0";"5";"N";"0.80";"13.51";"8.82";"2.68";"1.25";"1";"MOL";"0";"16";"3";"2";"0";"220.1576";"BASE";"C13H21ClN2O";"CCCNC(C)C(=O)Nc1ccccc1C.Cl"
