ChEMBL ID,standard_value
CHEMBL392394,60000
,
CHEMBL1190161,1995.26
,
CHEMBL1200629,310
,
CHEMBL3105156,40000
,
CHEMBL1496351,2511.89
,
CHEMBL2012582,13
,
CHEMBL377219,398.11
,
CHEMBL28636,50.12
,
CHEMBL396460,0.6
,
CHEMBL280164,340
,
CHEMBL494480,78000
,
CHEMBL279956,80
,
CHEMBL265325,40
,
CHEMBL683,980000
,
CHEMBL514622,30
,
CHEMBL90568,3000
,
CHEMBL18,0.4
,
CHEMBL15928,52
,
CHEMBL576,1.3
,
CHEMBL257991,10000
,
CHEMBL298312,2010000
,
CHEMBL153,2800
,
CHEMBL307429,91900
,
CHEMBL1065,3559
,
CHEMBL1201102,12589.25
,
CHEMBL1546,100000
,
CHEMBL477121,36000
,
CHEMBL12131,3800
,
CHEMBL13470,1.31
,
CHEMBL496557,20000
,
CHEMBL490129,4600
