ChEMBL ID,standard_value
CHEMBL3349370,9
,
CHEMBL312750,40000
,
CHEMBL3192687,9939
,
CHEMBL2170062,10000
,
CHEMBL2062276,7943.28
,
CHEMBL4128763,6600
,
CHEMBL320497,320
,
CHEMBL597477,160
,
CHEMBL125229,30000
,
CHEMBL4109308,800
,
CHEMBL129263,1000
,
CHEMBL99668,310
,
CHEMBL446084,7133
,
CHEMBL4303785,199.53
,
CHEMBL312607,100000
,
CHEMBL4289017,0.8
,
CHEMBL3426621,197
,
CHEMBL204738,8600
,
CHEMBL416715,9
,
CHEMBL439259,15000
,
CHEMBL514554,11
,
CHEMBL479176,25118.86
,
CHEMBL478306,100000
,
CHEMBL450195,150
,
CHEMBL454450,288403.15
,
CHEMBL586702,45
,
CHEMBL2093113,3.9
,
CHEMBL3818875,110
,
CHEMBL142009,10000
,
CHEMBL1651026,2.1
,
CHEMBL1076257,120000
,
CHEMBL380216,8900
,
CHEMBL221692,18590
,
CHEMBL1255782,0.09
,
CHEMBL96606,14800
,
CHEMBL3883592,37800
,
CHEMBL2106732,12589.25
,
CHEMBL3108827,21
,
CHEMBL3039201,450
,
CHEMBL3353187,59
,
CHEMBL418899,130
,
CHEMBL3408248,4
,
CHEMBL392525,42
,
CHEMBL214957,0.5012
,
CHEMBL2386874,100000
,
CHEMBL2364627,870
,
CHEMBL213100,1900
,
CHEMBL214796,1.1
,
CHEMBL2169919,0.4
,
CHEMBL2032413,57
,
CHEMBL2178284,12
,
CHEMBL2062804,81
,
CHEMBL321415,900
,
CHEMBL377725,200000
,
CHEMBL2064571,25.12
,
CHEMBL3115312,100
,
CHEMBL4173075,12
,
CHEMBL4084106,53
,
CHEMBL3940387,246
,
CHEMBL284954,49
,
CHEMBL1689369,100
,
CHEMBL3109630,38
,
CHEMBL4116008,8
,
CHEMBL2037226,500
,
CHEMBL4224714,28
,
CHEMBL257839,100000
,
CHEMBL282093,10
,
CHEMBL4290012,500
,
CHEMBL3613749,9500
,
CHEMBL167055,18
,
CHEMBL273083,5.1
,
CHEMBL1086310,6200
,
CHEMBL1213178,4000
,
CHEMBL2094620,40
,
CHEMBL191482,16
,
CHEMBL112715,12600
,
CHEMBL117904,40
,
CHEMBL1257753,350
,
CHEMBL674,2.2
,
CHEMBL1628668,2
,
CHEMBL244559,39.9
,
CHEMBL4059722,133000
,
CHEMBL539581,1318.26
,
CHEMBL296263,400
,
CHEMBL462653,321000
,
CHEMBL42661,540
,
CHEMBL907,2.8
,
CHEMBL304087,10
,
CHEMBL296480,77360
,
CHEMBL255682,34200
,
CHEMBL1086339,18700
,
CHEMBL1774055,3
,
